Time,Busy System,Busy User,Busy Iowait,Busy IRQs,Busy Other,Idle
2023-06-03 01:38:15,3.07,4.97%,0.0357%,0.143%,0%,91.8%
2023-06-03 01:38:30,0.549,0.309%,0.0343%,0.0686%,0%,99.0%
2023-06-03 01:38:45,0.547,0.308%,0%,0.103%,0%,99.0%
2023-06-03 01:39:00,0.581,0.410%,0.0684%,0.0684%,0%,98.9%
2023-06-03 01:39:15,2.6,2.53%,0.0703%,0.106%,0%,94.7%
2023-06-03 01:39:30,20.1,31.8%,0%,0.513%,0%,47.6%
2023-06-03 01:40:45,21.3,40.6%,0.0478%,0.670%,0%,37.4%
2023-06-03 01:41:15,25.6,37.9%,0.0887%,1.33%,0%,35.0%
